ranking,ISBN,title,author,publisher,genre,year
27,9784106038617 ,世界は善に満ちている,山本芳久,新潮社,哲学,2022
28,9784641115453 ,憲法判例百選　１,長谷部恭男,有斐閣,法律,2022
29,9784130623186 ,科学の技法,東京大学教養教育高度化機構初年次教育部門,東京大学出版会,自然科学,2022
30,9784641115460 ,憲法判例百選　２,長谷部恭男,有斐閣,法律,2022
31,9784563002169 ,入門線形代数,三宅敏恒,培風館,数学,2022
32,9784641009226 ,ポケット六法　令和４年版,佐伯仁志,有斐閣,法律,2022
33,9784163913629 ,東京大学「ボーカロイド音楽論」講義,鮎川ぱて,文藝春秋,日文評論,2022
34,9784779508059 ,ヨーロッパのデモクラシー,網谷龍介,ナカニシヤ出版,政治,2022
35,9784563023218 ,相対性理論入門講義,風間洋一,培風館,物理学,2022
36,9784807909087 ,アトキンス物理化学　上,ピーター・Ｗ．アトキンス,東京化学同人,化学,2022
37,9784785314088 ,微分積分学,難波誠,裳華房,数学,2022
38,9784641009233 ,ポケット六法　令和５年版,佐伯仁志,有斐閣,法律,2022
39,9784780609417 ,考える力学,兵頭俊夫,学術図書出版社,物理学,2022
40,9784641124660 ,進化と感情から解き明かす社会心理学,北村英哉,有斐閣,心理,2022
41,9784535558175 ,入門経済学,伊藤元重,日本評論社,経済財政,2022
42,9784130821315 ,Ａｃｔｉｖｅ　Ｅｎｇｌｉｓｈ　ｆｏｒ　Ｓｃｉｅｎｃｅ,東京大学,東京大学出版会,英米語,2022
43,9784902902778 ,Design　Makes　the　World　Go　Round.　P　84　p.,ジェイミー・ウエスト,センゲージラーニング,英米語,2022
44,9784130121101 ,教養としての認知科学,鈴木宏昭,東京大学出版会,心理,2022
45,9784785334185 ,化学熱力学,原田義也,裳華房,化学,2022
46,9784130620017 ,線型代数入門,斎藤正彦,東京大学出版会,数学,2022
47,9784410154638 ,チャート式シリーズ大学教養　線形代数,加藤文元,数研出版,数学,2022
48,9784641115552 ,国際法判例百選,森川幸一,有斐閣,法律,2022
49,9784641001589 ,国際条約集　２０２２年版,植木俊哉,有斐閣,法律,2022
50,9784411011343 ,ズーム！,慶應義塾大学法学部フランス語部会,駿河台出版社,仏語,2022
51,9784535558441 ,ミクロ経済学,伊藤元重,日本評論社,経済財政,2022
52,9784410152306 ,チャート式シリーズ大学教養　微分積分,加藤文元,数研出版,数学,2022
53,9784255352800 ,グラメール・フランセーズ,,朝日出版社,仏語,2022
54,9784269630222 ,こうすれば英語が聞ける,中郷安浩,英宝社,英米語,2022
55,9784255555041 ,ロシア語をはじめよう,,朝日出版社,各国語,2022
56,9784764740976 ,Ｂｒｉｔｉｓｈ　Ｎｅｗｓ　Ｕｐｄａｔｅ　２,ティモシー・ノウルズ,金星堂,英米語,2022
57,9784255353050 ,グラメール・アクティーヴ,大木充,朝日出版社,仏語,2022
58,9784065274859 ,現代思想入門,千葉雅也,講談社,哲学,2022
59,9784255156934 ,大学生のためのＣＮＮニュース・リスニング：ＳＤＧｓ編,『ＣＮＮ　Ｅｎｇｌｉｓｈ　Ｅｘｐｒｅｓｓ,朝日出版社,英米語,2022
60,9784130420655 ,統計学入門,東京大学,東京大学出版会,経済財政,2022
61,9784101035413 ,暇と退屈の倫理学,國分功一郎,新潮社,倫理,2022
62,9784641126206 ,法学を学ぶのはなぜ？,森田果,有斐閣,法律,2022
63,9784130626224 ,熱力学の基礎　１,清水明,東京大学出版会,物理学,2022
64,9784781913292 ,微分積分概論,高橋泰嗣,サイエンス社,数学,2022
65,9784130629218 ,統計学,久保川達也,東京大学出版会,数学,2022
66,9784130830317 ,まなざしのレッスン　２,三浦篤,東京大学出版会,芸術総記,2022
67,9784863984547 ,聞いて話す初級中国語インテンシブ,小嶋美由紀,白帝社,各国語,2022
